,actual_home_win,pred_home_win,pred_home_win_proba
30598,1,1,0.7263774360533286
35305,0,0,0.39528546520215535
31652,0,0,0.2504585453230926
29861,1,1,0.6103324242252718
32445,0,1,0.7398490537714505
32969,0,1,0.5546949996057665
28520,1,1,0.5777606045467892
33348,0,1,0.5888185043476553
27809,1,0,0.4108928178867904
28234,1,1,0.5557516238616242
34077,1,0,0.38841791732284486
31595,0,1,0.6996057089364782
32223,1,1,0.5512481104595072
27584,1,1,0.5934859238805213
32025,1,1,0.5620239286000728
34788,1,1,0.7032314057605469
27099,0,0,0.3861180764442767
32053,1,1,0.6262222958235756
29949,1,1,0.5286345330642426
35246,0,0,0.4636681767560338
32430,1,0,0.4993360445797588
33792,1,1,0.5728856169677945
27527,0,0,0.44307585959337603
34656,1,1,0.6896193894829071
34731,1,1,0.6385555724095179
31781,0,1,0.5699714824930598
31729,1,0,0.3495499246124011
32966,0,0,0.4868749207300088
28567,1,1,0.6559779291082803
30113,1,0,0.4845205931675923
29061,1,0,0.4685303470968001
32744,0,1,0.764183668101628
27577,0,0,0.46894416397201105
31683,0,1,0.6366686507315527
29609,1,1,0.5496576969966114
27357,1,1,0.5673621034304596
27829,0,1,0.5156324584834489
32639,1,1,0.5426724142070689
28674,1,1,0.6076636485463144
29037,1,0,0.42389550413582455
30143,1,1,0.5965566566094922
29824,0,0,0.4938387060416086
31717,1,0,0.3049722243463125
28440,0,0,0.39917351884473923
31434,1,1,0.6204727402381645
27691,1,1,0.7241015041616993
31822,1,0,0.4537868852348167
28210,1,0,0.4222880899173873
31934,1,1,0.6950304477630063
29651,1,1,0.5597258796924653
30003,1,1,0.7573143407658334
29971,1,1,0.7684542029399277
32073,0,1,0.7093517576353043
31727,1,1,0.5143283979968045
27934,1,1,0.5891476551474059
34671,1,0,0.4199068659540988
27495,0,0,0.45575252640264957
30091,1,1,0.7427365498435649
31397,0,1,0.5138935739125154
29868,1,1,0.7370881171838416
27299,1,1,0.7681482385006511
32111,0,1,0.5052902471171291
28415,1,1,0.6460510429644618
31949,1,1,0.5018428230708337
27922,0,0,0.4092103422214275
32308,0,0,0.4650978958989026
31797,1,0,0.32977564672776966
33222,0,0,0.44186144433890157
31470,0,1,0.5597266372947085
34162,1,1,0.6276378869228767
34210,1,1,0.6738351243838722
27808,1,1,0.5743060458231978
29655,0,1,0.510954326771074
29058,0,0,0.38299393544206284
34952,1,1,0.6709316001768753
31143,1,0,0.48975525671093834
30208,1,1,0.7722850717186964
28285,0,1,0.7533527035606644
32054,0,0,0.4812016362123328
34039,1,1,0.5773677273589884
33989,0,0,0.4693754878481704
35076,1,1,0.6475922951301729
28518,0,0,0.44912949784623946
28368,0,0,0.3503026207540719
27778,0,0,0.31776662204685485
31973,1,1,0.6146070638040851
34044,1,1,0.507331592775415
30478,0,1,0.7586739082324426
27305,1,1,0.5827803364676998
27384,1,1,0.5836142782448895
31859,1,1,0.534248225152834
32103,1,1,0.7032999515667991
27799,1,1,0.5615621024299211
33218,1,1,0.5853201045962715
32716,1,1,0.5946241420078819
33200,1,1,0.5507407241609745
30978,1,1,0.6895302747341135
31016,0,1,0.6896170947475873
29311,1,0,0.48787486626615545
27287,0,0,0.31037447074705676
32575,1,1,0.549565493958774
34602,0,0,0.46958853176970294
29998,0,0,0.4405175667382807
30039,1,1,0.718184338032819
34407,1,1,0.6971037145005439
29044,1,1,0.6673974326399491
31605,1,1,0.6389946230319745
33492,0,1,0.5092793939533028
28100,0,0,0.30677524599386874
30078,1,0,0.37076596924927846
31738,1,1,0.5596234390231036
32767,0,0,0.48272381375145834
27538,1,0,0.44896811198748315
33033,1,0,0.4760524823177626
33070,0,1,0.554083971549412
31050,0,1,0.5883901965826385
